"","MET","TIME","SAMPLE","QT"
"817","glucose",0.5,1,0.97
"818","glucose",0.5,2,0.97
"819","glucose",0.5,3,0.97
"820","glucose",1,1,1.02
"821","glucose",1,2,1.01
"822","glucose",1,3,1.03
"823","glucose",2,1,1.02
"824","glucose",2,2,1.02
"825","glucose",2,3,1.03
"826","glucose",4,1,0.854
"827","glucose",4,2,0.88
"828","glucose",4,3,0.839
"829","glucose",12,1,0.866
"830","glucose",12,2,0.847
"831","glucose",12,3,0.828
"832","glucose",24,1,0.333
"833","glucose",24,2,0.412
"834","glucose",24,3,0.31
"835","glucose",48,1,0.632
"836","glucose",48,2,0.638
"837","glucose",48,3,0.609
"838","glucose",72,1,0.585
"839","glucose",72,2,0.58
